GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing
OpenNMT/OpenNMT-py,Y,4221,2471,13016,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/OpenNMT/OpenNMT-py/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity but not consistent,"The project maintainers respond to issues, as evidenced by https://github.com/OpenNMT/OpenNMT-py/issues/1803 and https://github.com/OpenNMT/OpenNMT-py/issues/1802",https://github.com/OpenNMT/OpenNMT-py/blob/master/LICENSE.md is provided.,There are many files related to testing.
OpenNMT/OpenNMT-tf,Y,1074,1735,14316,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/OpenNMT/OpenNMT-tf/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/OpenNMT/OpenNMT-tf/issues/695 and https://github.com/OpenNMT/OpenNMT-tf/issues/672",https://github.com/OpenNMT/OpenNMT-tf/blob/master/LICENSE is provided.,There are many files related to testing.
openseg-group/openseg.pytorch,N,427,172,18832,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/openseg-group/openseg.pytorch/graphs/contributors shows that there are only 3 contributors,CI is not used on the project,There is a well-maintained README and some of the functions in https://github.com/openseg-group/openseg.pytorch/blob/master/lib/models/modules/base_oc_block.py and https://github.com/openseg-group/openseg.pytorch/blob/master/lib/models/modules/isa_block.py have appropriate docstrings,https://github.com/openseg-group/openseg.pytorch/graphs/commit-activityshows that there have been some activties in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/openseg-group/openseg.pytorch/issues/24 and https://github.com/openseg-group/openseg.pytorch/issues/23",https://github.com/openseg-group/openseg.pytorch/blob/master/LICENSE,there is no evidence of any testing done on the project.
openvinotoolkit/model_server,Y,315,180,4912,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/openvinotoolkit/model_server/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/openvinotoolkit/model_server/graphs/commit-activity shows that there have been some activties in the past few months with many activities in the past month.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/openvinotoolkit/model_server/issues/272 and https://github.com/openvinotoolkit/model_server/issues/234",https://github.com/openvinotoolkit/model_server/blob/master/LICENSE,There are many files related to testing
openvinotoolkit/openvino,Y,1347,443,111568,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/openvinotoolkit/openvino/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and some of the functions in https://github.com/openvinotoolkit/openvino/blob/master/model-optimizer/extensions/back/InterpolateReshape.py and https://github.com/openvinotoolkit/openvino/blob/master/model-optimizer/extensions/back/LRNToNorm.py have appropriate docstrings,https://github.com/openvinotoolkit/openvino/graphs/commit-activity shows that there have been few activties in the past few months with many activities in the past month.,"The project maintainers respond to issues, not so actively, as evidenced byhttps://github.com/openvinotoolkit/openvino/issues/1239 and https://github.com/openvinotoolkit/openvino/issues/1220",https://github.com/openvinotoolkit/openvino/blob/master/LICENSE,There are many files related to testing
osmr/imgclsmob,N,1548,2085,191218,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/osmr/imgclsmob/graphs/contributors shows that there are 3 contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/osmr/imgclsmob/blob/master/pytorch/metrics/det_metrics.py and https://github.com/osmr/imgclsmob/blob/master/pytorch/metrics/cls_metrics.py have appropriate docstrings,https://github.com/osmr/imgclsmob/graphs/commit-activity shows that there have been activties in the past few months with few activities in the past month.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/osmr/imgclsmob/issues/70 and https://github.com/osmr/imgclsmob/issues/67",https://github.com/osmr/imgclsmob/blob/master/LICENSE,There are many files related to testing
ottogroup/palladium,Y,469,343,5744,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/ottogroup/palladium/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/ottogroup/palladium/blob/master/palladium/interfaces.py and https://github.com/ottogroup/palladium/blob/master/palladium/persistence.py and https://github.com/ottogroup/palladium/blob/master/palladium/fit.py have appropriate docstrings,https://github.com/ottogroup/palladium/graphs/commit-activity shows that there have been few activities,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/ottogroup/palladium/issues/113 and https://github.com/ottogroup/palladium/issues/98",https://github.com/ottogroup/palladium/blob/master/LICENSE,There are many files related to testing
OUCMachineLearning/OUCML,N,2878,322,11672,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/OUCMachineLearning/OUCML/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity in recent months,The maintainers of the project does not reply to issues or close them.,There are multiple license files as there are multiple projects for this,There are files related to testing but not much
ownthink/Jiagu,Y,1498,102,1780,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/ownthink/Jiagu/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README and most of the functions in https://github.com/ownthink/Jiagu/blob/master/jiagu/cluster/base.py and https://github.com/ownthink/Jiagu/blob/master/jiagu/cluster/kmeans.py and https://github.com/ownthink/Jiagu/blob/master/jiagu/perceptron.py have appropriate docstrings,https://github.com/ownthink/Jiagu/graphs/commit-activity shows that there are have been some activities in the past but few in the past month,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/ownthink/Jiagu/issues/50 and https://github.com/ottogroup/palladium/issues/98",https://github.com/ownthink/Jiagu/blob/master/license,There are many files related to testing
PacktPublishing/Advanced-Deep-Learning-with-Keras,N,681,424,7986,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/issues/8 and https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/issues/2",https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/blob/master/LICENSE is provided.,There are test files for some of the projects
PacktPublishing/Deep-Reinforcement-Learning-Hands-On,N,1485,1183,11128,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/issues/79 and https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/issues/62",https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/blob/master/LICENSE is provided.,There are test files for some of the projects
PaddlePaddle/models,Y,4767,4330,152027,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PaddlePaddle/models/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PaddlePaddle/models/issues/4733 and https://github.com/PaddlePaddle/models/issues/4704 but there's still many open issues",https://github.com/PaddlePaddle/models/blob/release/1.8/LICENSE is provided.,There are test files for some of the projects
PaddlePaddle/PARL,Y,1169,222,29083,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PaddlePaddle/PARL/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PaddlePaddle/PARL/issues/324 and https://github.com/PaddlePaddle/PARL/issues/305",https://github.com/PaddlePaddle/PARL/blob/develop/LICENSE is provided.,There are many files related to testing.
parlance/ctcdecode,N,312,159,238,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/parlance/ctcdecode/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a README and most of the functions in https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/decoder_utils.h and https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/scorer.h and https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/ctc_beam_search_decoder.h have appropriate docstrings,https://github.com/parlance/ctcdecode/graphs/commit-activity shows that there are have been few activities in the past but some activities in the past month,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/parlance/ctcdecode/issues/151 and https://github.com/parlance/ctcdecode/issues/146",https://github.com/parlance/ctcdecode/blob/master/LICENSE,There are 2 files related to testing
persephone-tools/persephone,Y,114,1182,3791,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/persephone-tools/persephone/graphs/contributors shows that there are 4 contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/persephone-tools/persephone/blob/master/persephone/corpus_reader.py and https://github.com/persephone-tools/persephone/blob/master/persephone/corpus.py and https://github.com/persephone-tools/persephone/blob/master/persephone/results.py have appropriate docstrings,https://github.com/persephone-tools/persephone/graphs/commit-activity shows that there are have been few activities in the past but some activities in the past month,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/persephone-tools/persephone/issues/234 and https://github.com/persephone-tools/persephone/issues/231",https://github.com/persephone-tools/persephone/blob/master/LICENSE,There are many files related to testing
PetrochukM/PyTorch-NLP,Y,1725,408,4596,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PetrochukM/PyTorch-NLP/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/PetrochukM/PyTorch-NLP/issues/89 and https://github.com/PetrochukM/PyTorch-NLP/issues/71",https://github.com/PetrochukM/PyTorch-NLP/blob/master/LICENSE is provided.,There are many files related to testing.
pgmpy/pgmpy,Y,1483,2630,23912,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/pgmpy/pgmpy/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/pgmpy/pgmpy/blob/dev/pgmpy/base/UndirectedGraph.py and https://github.com/pgmpy/pgmpy/blob/dev/pgmpy/inference/ExactInference.py and https://github.com/pgmpy/pgmpy/blob/dev/pgmpy/inference/EliminationOrder.py have appropriate docstrings,https://github.com/pgmpy/pgmpy/graphs/commit-activity shows that there are have been activities in the past consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/pgmpy/pgmpy/issues/1298 and https://github.com/pgmpy/pgmpy/issues/1293",https://github.com/pgmpy/pgmpy/blob/dev/LICENSE,There are many files related to testing
philipperemy/deep-speaker,N,443,302,1158,The source code of the project exists as ad-hoc scripts.,https://github.com/philipperemy/deep-speaker/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/philipperemy/deep-speaker/graphs/commit-activity shows that there are have been few activities in the past,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/philipperemy/deep-speaker/issues/59 and https://github.com/philipperemy/deep-speaker/issues/58",no license,There are files related to testing
philipperemy/keract,Y,748,276,1054,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/philipperemy/keract/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README and some of the functions in https://github.com/philipperemy/keract/blob/master/keract/keract.py have appropriate docstrings,https://github.com/philipperemy/keract/graphs/commit-activity shows that there are have been some activities in the past with some activities in the past month,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/philipperemy/keract/issues/106v and https://github.com/philipperemy/keract/issues/105",https://github.com/philipperemy/keract/blob/master/LICENSE,There are files related to testing
philipperemy/keras-tcn,N,829,351,1007,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors (Mainly one): https://github.com/philipperemy/keras-tcn/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",0,Few commits in the past month,"More closed than open, author responds frequently: https://github.com/philipperemy/keras-tcn/issues/145",https://github.com/philipperemy/keras-tcn/blob/master/LICENSE,There is no evidence of any testing done on the project.
PhoenixDL/rising,Y,156,769,6200,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PhoenixDL/rising/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PhoenixDL/rising/issues/104 and https://github.com/PhoenixDL/rising/issues/99 but there are more open than closed issues",https://github.com/PhoenixDL/rising/blob/master/LICENSE is provided.,There are many files related to testing.
piEsposito/blitz-bayesian-deep-learning,Y,133,183,2260,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/piEsposito/blitz-bayesian-deep-learning/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author responds frequently: https://github.com/piEsposito/blitz-bayesian-deep-learning/issues/43",https://github.com/piEsposito/blitz-bayesian-deep-learning/blob/master/LICENSE,There are many files related to testing
plasticityai/magnitude,Y,1259,338,53869,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/plasticityai/magnitude/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, some codes are documented",Some commits the past month,"More closed than open, author does not respond frequently",https://github.com/plasticityai/magnitude/blob/master/LICENSE.txt,There are many files related to testing
podgorskiy/ALAE,N,2148,288,5580,The source code of the project consists of some ad-hoc scripts.,Multiple contributors (Mainly one): https://github.com/podgorskiy/ALAE/graphs/contributors,No indications of using CI services,"There is a README, some codes are documented","No commits in the past few months, around 12 commits in the last year","More open than closed, author seldom replies",No license,There is no evidence of any testing done on the project.
PreferredAI/cornac,Y,208,1124,11859,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PreferredAI/cornac/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity but not consistent,"The project maintainers respond to issues, as evidenced by https://github.com/PreferredAI/cornac/issues/342 and https://github.com/PreferredAI/cornac/issues/296",https://github.com/PreferredAI/cornac/blob/master/LICENSE is provided.,There are many files related to testing.
priya-dwivedi/Deep-Learning,N,2485,184,116598,It's just a collection of projects,One contributor,No indications of using CI services,"No README, some codes are documented",Random commits of whole projects,"More open than closed, author seldom replies",No license,There is no evidence of any testing done on the project.
Project-MONAI/MONAI,Y,1018,315,36452,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Project-MONAI/MONAI/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/Project-MONAI/MONAI/blob/master/monai/handlers/checkpoint_saver.py, https://github.com/Project-MONAI/MONAI/blob/master/monai/networks/utils.py , and https://github.com/Project-MONAI/MONAI/blob/master/monai/visualize/img2tensorboard.py have appropriate docstrings.","Checking https://github.com/Project-MONAI/MONAI/commits/master (or https://github.com/Project-MONAI/MONAI/pulse), there has been significant commit activity in the past month.","The project maintainers respond to issues, as evidenced by https://github.com/Project-MONAI/MONAI/issues/614 and https://github.com/Project-MONAI/MONAI/issues/598.",https://github.com/Project-MONAI/MONAI/blob/master/LICENSE is provided.,There are many files related to testing.
pyannote/pyannote-audio,Y,688,1765,9657,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pyannote/pyannote-audio/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pyannote/pyannote-audio/blob/develop/LICENSE,There are many files related to testing
pymc-devs/pymc3,Y,5093,7404,32583,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pymc-devs/pymc3/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pymc-devs/pymc3/blob/master/LICENSE,There are many files related to testing
pymc-devs/pymc4,Y,636,218,9754,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pymc-devs/pymc4/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pymc-devs/pymc4/blob/master/LICENSE.txt,There are many files related to testing
pyprob/pyprob,Y,301,1246,11146,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pyprob/pyprob/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, some codes are documented",Consistent commits in the last month,"More open than closed, author seldom replies",https://github.com/pyprob/pyprob/blob/master/LICENSE,There are many files related to testing
pyro-ppl/funsor,Y,128,405,17098,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contibutors: https://github.com/pyro-ppl/funsor/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pyro-ppl/funsor/blob/master/LICENSE.md,There are many files related to testing
pyro-ppl/pyro,Y,6301,2040,65702,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pyro-ppl/pyro/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pyro-ppl/pyro/blob/dev/LICENSE.md,There are many files related to testing
pytorch/audio,Y,974,451,14845,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/audio/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/audio/blob/master/LICENSE,There are many files related to testing
pytorch/botorch,Y,1629,656,27954,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/botorch/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/botorch/blob/master/LICENSE,There are many files related to testing
pytorch/builder,Y,112,1367,1511,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/builder/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open than closed, author sometimes replies",https://github.com/pytorch/builder/blob/master/LICENSE,There are many files related to testing
pytorch/captum,Y,1493,695,23319,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/captum/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open than closed, author sometimes replies",https://github.com/pytorch/captum/blob/master/LICENSE,There are many files related to testing
pytorch/elastic,Y,453,141,10169,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/elastic/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/elastic/blob/master/LICENSE,There are many files related to testing
pytorch/examples,N,13265,459,3609,Its a collection of projects/examples,Multiple contributors: https://github.com/pytorch/examples/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/examples/blob/master/LICENSE,There is no evidence of any testing done on the project.
pytorch/fairseq,Y,8204,1353,66699,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiole contributors: https://github.com/pytorch/fairseq/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/fairseq/blob/master/LICENSE,There are many files related to testing
pytorch/ignite,Y,2867,619,36702,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/ignite/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/ignite/blob/master/LICENSE,There are many files related to testing
pytorch/serve,Y,956,632,7438,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/serve/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/serve/blob/master/LICENSE,There are many files related to testing
pytorch/text,Y,2337,566,11130,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/text/blob/master/LICENSE,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/text/blob/master/LICENSE,There are many files related to testing
pytorch/tutorials,N,3944,1248,10774,Its a collection of projects/tutorials,Multiple contributors: https://github.com/pytorch/tutorials/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/tutorials/blob/master/LICENSE,There is no evidence of any testing done on the project.
pytorch/vision,Y,6570,1054,24787,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/vision/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/vision/blob/master/LICENSE,There are many files related to testing
PyTorchLightning/pytorch-lightning,Y,6089,2599,38240,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PyTorchLightning/pytorch-lightning/graphs/contributors shows that there are multiple contributors,"The project seems to use Circle CI but drop it, not very sure what they use exactly",There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PyTorchLightning/pytorch-lightning/issues/2495 and https://github.com/PyTorchLightning/pytorch-lightning/issues/2456",https://github.com/PyTorchLightning/pytorch-lightning/blob/master/LICENSE is provided.,There are many files related to testing.
QData/TextAttack,Y,134,1022,11890,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/QData/TextAttack/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/QData/TextAttack/issues/155 and https://github.com/QData/TextAttack/issues/126",https://github.com/QData/TextAttack/blob/master/LICENSE is provided.,There are many files related to testing.
Qiskit/qiskit-aqua,Y,362,5998,53797,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Qiskit/qiskit-aqua/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Qiskit/qiskit-aqua/issues/1013 and https://github.com/Qiskit/qiskit-aqua/issues/1066",https://github.com/Qiskit/qiskit-aqua/blob/master/LICENSE.txt is provided.,There are many files related to testing.
qiskit-community/qiskit-textbook,N,179,883,8085,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/qiskit-community/qiskit-textbook/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/qiskit-community/qiskit-textbook/blob/master/LICENSE.txt,There is no evidence of any testing done on the project.
quantumblacklabs/kedro,Y,2539,713,25394,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/quantumblacklabs/kedro/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/quantumblacklabs/kedro/blob/master/LICENSE.md,There are many files related to testing
quantumiracle/SOTA-RL-Algorithms,N,159,105,9281,The source code of this project has been organised into different modules in a way that shows the relationship between different files,One contributor,No indications of using CI services,"There is a well maintained README, some codes are documented",No commits the past month,No open issues,https://github.com/quantumiracle/SOTA-RL-Algorithms/blob/master/LICENSE,There is no evidence of any testing done on the project.
quantumlib/Cirq,Y,2373,1671,110532,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/quantumlib/Cirq/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/quantumlib/Cirq/blob/master/LICENSE,There is no evidence of any testing done on the project.
r9y9/nnsvs,N,130,115,2737,The source code of this project has been organised into different modules in a way that shows the relationship between different files,One contributor,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, some codes are documented",Some commits the past month,More closed than open (The one open is a to do list),https://github.com/r9y9/nnsvs/blob/master/LICENSE,There is no evidence of any testing done on the project.
rail-berkeley/softlearning,N,583,1479,8609,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/rail-berkeley/softlearning/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",No commits the past month,"More closed than open, author does not respond frequently",https://github.com/rail-berkeley/softlearning/blob/master/LICENSE,There is no evidence of any testing done on the project.
ray-project/ray,Y,11894,4975,151379,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/ray-project/ray/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/ray-project/ray/blob/master/LICENSE,There are many files related to testing
regel/loudml,Y,142,1085,10676,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/regel/loudml/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/regel/loudml/blob/develop/LICENSE,There are many files related to testing
RexYing/gnn-model-explainer,N,255,172,3968,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/RexYing/gnn-model-explainer/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues but very little of the time,https://github.com/RexYing/gnn-model-explainer/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
ria-com/nomeroff-net,Y,225,452,4626,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/ria-com/nomeroff-net/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",No commits the past month,"More closed than open, author does not respond frequently",https://github.com/ria-com/nomeroff-net/blob/master/LICENSE,There are many files related to testing
